"provider","category","Theme","Sub_Theme","Code","Text","refs"
"AI","positive","Adherence to the feedback criteria and structure","Well-structured feedback that adheres to principles","Specific feedback","- AI_04_009:The impression is that there are few details, but there are examples given. The good points are that it also includes detailed descriptions and gives specific examples. There are no points that need to be improved.","AI_04_009"
"AI","positive","Adherence to the feedback criteria and structure","Well-structured feedback that adheres to principles","specific, easy-to-understand advice","- AI_10_103:・The points for improvement for each individual are very easy to understand. ・The goal for this practical training as a whole cannot be understood from this feedback alone. However, this lack of detail may be the result of the student's lack of records.
- AI_10_104:The feedback gives the impression that days without records = days without practice. We cannot understand the correctness or otherwise of this, but it is possible that it is not accurate. The other points for improvement are well written.","AI_10_103, AI_10_104"
"AI","positive","Adherence to the feedback criteria and structure","Well-structured feedback that adheres to principles","Specific feedback","- AI_06_037:There is specific feedback on the recording.","AI_06_037"
"AI","positive","Adherence to the feedback criteria and structure","Well-structured feedback that adheres to principles","Concrete advice","- AI_05_031:Good points: Specific and with a lot of text. Points for improvement: The only advice given is “It would be good to write in more detail”.
- AI_08_070:I felt that the feedback was very specific and encouraged medical students to improve their study and record-keeping.
- AI_08_072:I think the feedback was very specific and good.
- AI_08_078:The advice is specific and easy to understand, so I think it is good feedback.
- AI_08_080:I think it is very good feedback because it proposes a concrete action plan.
- AI_08_082:I think it is good feedback because the advice is given in a concrete way.
- AI_09_086:It is very specific and detailed. It is written in the classic P-N-P format. However, it is basically feedback on how to write a log, and I don't think it necessarily leads to changes in the student's behavior.
- AI_09_095:The feedback is in line with the portfolio. The feedback is also specific.
- AI_09_096:The content of the feedback is positive, and specific, but it seems to focus on how to write the portfolio
- AI_09_100:Although specific feedback is given, it seems that the main focus is on how to write a portfolio.
- AI_11_119:It also includes a suggestion for improvement, so it seems easy for the student to understand what they should do next. However, I wonder whether “work hard on creating slides” should really focus on things like design (I thought they should reconsider the content or cite more papers, etc.), and I think that whether it is appropriate feedback or not may depend on the state of the training.
- AI_12_141:I think the expression “summarized concisely” is a bit of a stretch. However, I think the specific instructions and comments are specific and appropriate.
- AI_12_144:I think the specific issues being proposed are accurate and good. However, I think the evaluation that “the fact that it is continuously written is wonderful” is a little unreasonable.
- AI_15_020:The impression is that the feedback is positive and in line with the content of the record. The fact that the feedback specifically lists items that should be explored in more depth is good. On the other hand, the points that are being focused on do not seem to be that important from an academic or clinical perspective, and I feel that there are other things that should be suggested.
- AI_15_021:The impression is that the feedback is very detailed and thorough. I think it is good that specific improvement suggestions are being made, but I don't think that the criteria for treatment of hypoglycemia and the rationale for treatment are that important (compared to the other content), and I feel that the points being made lack medical knowledge.
- AI_15_022:The impression is that the feedback is based on the practical training record. The fact that it mentions specific improvement plans is good. On the other hand, the feedback that focuses on the “Gefir process” is a little questionable as “clinical practical training record in respiratory surgery”.
- AI_16_043:Concrete and easy-to-understand feedback. The fact that the feedback is something that students can put into practice straight away is good. On the other hand, it is a shame that some of the descriptions are unnatural and there is not much medium- to long-term feedback.
- AI_16_051:The impression is that polite and detailed feedback is given. It is good that the points for improvement in the content are given with specific examples. On the other hand, it would be better if the text could be improved so that there are no line breaks for the amount of text and it is easier to read.","AI_05_031, AI_08_070, AI_08_072, AI_08_078, AI_08_080, AI_08_082, AI_09_086, AI_09_095, AI_09_096, AI_09_100, AI_11_119, AI_12_141, AI_12_144, AI_15_020, AI_15_021, AI_15_022, AI_16_043, AI_16_051"
"AI","positive","Adherence to the feedback criteria and structure","Well-structured feedback that adheres to principles","Specific points for improvement","- AI_04_001:I get the impression that he is a kind and supportive instructor. I think that the fact that he gives specific examples of areas for improvement makes this a very useful resource for medical students. I don't have any specific areas for improvement.
- AI_04_003:I get the impression that he is trying to encourage students by first praising them for writing their records. As a positive point, there are specific descriptions of how to write entries that will help learning and enable goal setting. I don't think there are any major points that need to be improved.
- AI_04_005:The impression was that there were many points listed for improvement. As a good point, the fact that the areas for improvement were described in concrete terms. As points for improvement, there were specific examples given, but as a medical student, I felt that these were too high a hurdle.
- AI_05_019:(Bad point) It has been pointed out that the date is missing, but I don't think that is the case. If there is even one such incorrect entry, there is a possibility that the learner will not be able to properly receive the feedback. The suggestion to write “Start preparing for the presentation” as “Prepare for the presentation on a specific topic or patient” is also of little actual feedback value. (Good point) The example of asking the learner to write about what they specifically learned about dystrophy is good.
- AI_16_045:The feedback is specific about the content of the description. The fact that it is able to point out things like omissions in the records appropriately is good. It also gives specific suggestions for improvement. On the other hand, there are some unnatural parts in the description, so it would be better if it were written in a more natural way.
- AI_19_092:I think that specific points are being made in line with the student's record.","AI_04_001, AI_04_003, AI_04_005, AI_05_019, AI_16_045, AI_19_092"
"AI","positive","Adherence to the feedback criteria and structure","Well-structured feedback that adheres to principles","Specific points for improvement","- AI_12_133:The specific points for improvement are indicated.
- AI_12_134:The part where the good points are praised first. The part where specific points for improvement are indicated.
- AI_14_002:My impression is that it is composed of good points, points that need to be improved, and positive encouragement, and I felt that the points that need to be improved were clear and easy to understand. The report says that the points that need to be improved are being recorded smoothly, but in reality there are omissions, and I felt that the fact that the report points out these omissions as points that need to be improved felt unnatural.
- AI_14_003:I thought that the fact that it mentions specific points that need to be improved was good. As a piece of writing, I felt that the phrase “excellent work” was unnatural. Also, since the interactions within the hospital are not taken into account, I felt that the points raised were less in-depth than the feedback given by the doctor in charge if the communication was good between the doctor and the student.
- AI_14_004:It is easy to understand what exactly needs to be improved. The points for improvement say that the entries for January 9th and 12th lack specificity, but the entry for the 9th is written in detail.
- AI_14_005:The points for improvement suggest that it would be better to write the names of specific techniques. The points for improvement suggest that knowledge of surgical methods should be obtained by asking the supervising doctor or looking them up in a textbook, rather than from literature.
- AI_14_006:The good points are that it shows easy-to-implement improvements that can be made every day. The feedback suggests that it would be good to create opportunities to share what you have learned, but this is not really related to the improvements to be made in the practical training record.
- AI_14_009:It is good that the points for improvement are being derived from the small amount of description. In addition, it also mentions points for improvement that go one step further.
- AI_14_011:The expression “excellent work” is a bit of a turn-off, but the other points for improvement are clearly indicated.
- AI_14_015:Thank you for your hard work! Your record is detailed and specific overall, and it is clear that you are carefully observing. The preface is good as a cushion, but if it is written in every practice book, it feels like it is too wordy.
- AI_14_017:The points that need to be improved are clear and easy to understand.
- AI_15_018:The impression is that the feedback is in line with the student's record. I felt that the feedback was good because it was given in a positive way in response to the student's record. On the other hand, the suggestions for the student are unrealistic and do not match the reality of clinical practice at all, and the background information that is a prerequisite for generating good feedback is critically lacking.","AI_12_133, AI_12_134, AI_14_002, AI_14_003, AI_14_004, AI_14_005, AI_14_006, AI_14_009, AI_14_011, AI_14_015, AI_14_017, AI_15_018"
"AI","positive","Adherence to the feedback criteria and structure","Well-structured feedback that adheres to principles","Presentation of specific points for improvement","- AI_15_033:The impression is that the feedback is polite. It also gives specific suggestions for improvement, while also mentioning the points where the clinical practice record is lacking in detail.
- AI_15_034:The impression is that the feedback is tailored to the clinical practice record. I think it is specific feedback, as the points it raises are relatively valid.
- AI_16_036:The points that are lacking in the students' records are clearly pointed out, and the content is useful for improvement. The fact that it clearly shows how improvements need to be made is good. On the other hand, there are few specific points made about examination skills, and I would like to see more specific points.
- AI_16_037:While specific improvement measures are pointed out regarding the method of recording, there is a lack of feedback from a medical perspective regarding the content of the records. The instructions are specific and easy to understand. On the other hand, I would like to see points made from a medical perspective.
- AI_16_038:The feedback is clear and easy to understand. I can appreciate the fact that the problems with the record and the specific measures for improvement are clearly indicated. On the other hand, the fact that only the first day of the record is indicated, but the expression “from the first day” is used, makes the expression seem a little unnatural. I feel that this point could be improved.
- AI_16_040:The impression is that specific feedback is given on the content of the entries. The points are specific and easy to understand. On the other hand, there is little specific feedback on medical improvement measures. I would like to see feedback on medical techniques, etc.
- AI_16_041:The feedback is limited to the content of the description, and there is little mention of day-to-day efforts. It is good that specific feedback is given on how to record the information. On the other hand, it is a pity that the feedback is limited to the content of the description, as it is not possible to grasp the content of the presentation.","AI_15_033, AI_15_034, AI_16_036, AI_16_037, AI_16_038, AI_16_040, AI_16_041"
"AI","positive","Adherence to the feedback criteria and structure","Well-structured feedback that adheres to principles","clear examples","- AI_16_036:The points that are lacking in the students' records are clearly pointed out, and the content is useful for improvement. The fact that it clearly shows how improvements need to be made is good. On the other hand, there are few specific points made about examination skills, and I would like to see more specific points.","AI_16_036"
"AI","positive","Adherence to the feedback criteria and structure","Well-structured feedback that adheres to principles","Sufficient amount of positive feedback","- AI_04_003:I get the impression that he is trying to encourage students by first praising them for writing their records. As a positive point, there are specific descriptions of how to write entries that will help learning and enable goal setting. I don't think there are any major points that need to be improved.","AI_04_003"
"AI","positive","Adherence to the feedback criteria and structure","Well-structured feedback that adheres to principles","suggestions for improvements that are easy to accept","- AI_21_117:My impression is that the feedback is given after the record has been carefully examined. The fact that the points that should be evaluated and the good points are mentioned first, and then the points for improvement are pointed out, makes it easier for the student to accept the points for improvement, and I think that is a good thing. I also think that the points for improvement and the content of the points for improvement are very specific, and that makes it easier to take action. The main points for improvement are suggestions for how the students' practical training should be carried out, and there is no feedback on medical or clinical content.","AI_21_117"
"AI","positive","Continuity and consistency","Feedback based on a comprehensive review of the recorded content","language that is not in line with the practice record","- AI_15_025:The impression is that the feedback is in line with the practical training record. The fact that the feedback is given in a supportive tone is good. It is interesting that the impression received is completely different, even though feedback 1 and feedback 2 mention almost the same points.","AI_15_025"
"AI","positive","Adherence to the feedback criteria and structure","Well-structured feedback that adheres to principles","Concrete advice that is easy to put into practice","- AI_17_055:The tone is clear and easy to implement because the purpose is clear.","AI_17_055"
"AI","positive","Adherence to the feedback criteria and structure","Well-structured feedback that adheres to principles","Advice that is easy to put into practice","- AI_23_152:The point that the feedback was given under the misunderstanding that the daily record was being done when it was not should be improved. Other than that, there was a lot of practical feedback.","AI_23_152"
"AI","positive","Adherence to the feedback criteria and structure","Well-structured feedback that adheres to principles","example of improvement","- AI_16_044:The impression is that the feedback is detailed. The fact that it is written in an easy-to-understand way, with specific examples, is good. I think it would be easier to read if the lines were broken up appropriately.","AI_16_044"
"AI","positive","Adherence to the feedback criteria and structure","Well-structured feedback that adheres to principles","Suggesting specific goals using numerical values","- AI_23_149:Expressions such as “Great job!” and “I will provide feedback.” are English-Japanese translation-like expressions, and I felt that they were unnatural as Japanese. Also, “Read five papers related to hyponatremia” is a very interesting suggestion, as it is like a lab duty in the sciences, such as “read 100 papers a week.”","AI_23_149"
"AI","positive","Continuity and consistency","Support for verbalizing experiences","Advice for making the goal more specific","- AI_06_043:There is evaluation of the specific reflection.
- AI_06_044:Feedback is given carefully, and specific methods for improvement are proposed. However, there is the impression that the points of feedback are off.
- AI_06_045:The learner's tendencies are also grasped, and specific improvement proposals are made.
- AI_06_046:The feedback is detailed and specific.
- AI_07_054:I also judge that this case does not have a daily record. When judging only from this log, I cannot understand the basis for judging that there is no daily record. I think this is a very good constructive feedback, as it is specific.","AI_06_043, AI_06_044, AI_06_045, AI_06_046, AI_07_054"
"AI","positive","Continuity and consistency","Support for verbalizing experiences","assistance in encouraging self-reflection based on experience","- AI_13_155:Although the learner does not keep a daily record, the fact that they do keep a daily record is evaluated, and this feels strange. The feedback encourages the learner to think more deeply about the content of their daily practical work and to reflect on it. There is no mention of the issue of how to interact with patients, so feedback is needed.","AI_13_155"
"AI","positive","Continuity and consistency","Support for verbalizing experiences","Support for making experiences concrete","- AI_18_070:It's fine to advise them to write about what they learned in concrete terms, but I think it's off-base to advise them to write about which patient's case they learned from.","AI_18_070"
"AI","positive","Continuity and consistency","Support for verbalizing experiences","assistance in concretizing experience","- AI_13_155:Although the learner does not keep a daily record, the fact that they do keep a daily record is evaluated, and this feels strange. The feedback encourages the learner to think more deeply about the content of their daily practical work and to reflect on it. There is no mention of the issue of how to interact with patients, so feedback is needed.
- AI_13_160:Although the comments are correct, some learners may feel that the comments are a little too involved, as they seem to be written in a way that is only intended to get the learner to complete the practical training, even though the learner is aware that it is good to write in that way. Good points: Feedback on how to correctly keep a learning record and deepen learning. Points for improvement: There is no mention of the learner's attitude.","AI_13_155, AI_13_160"
"AI","positive","Continuity and consistency","Support for verbalizing experiences","assistance in deepening experience","- AI_13_158:The wording feels like it has been translated. The way the foundation is created, the signposts, etc. There is good feedback on how to record and deepen the information. There is no mention of the actual surgery, and when it comes to the role and procedure of the surgery, it becomes a surgical record, so there is the impression that the focus is a little off from the record of this practical training. There is no feedback on the attitude of the practical training, so improvement is needed.","AI_13_158"
"AI","positive","Continuity and consistency","Support for verbalizing experiences","assistance in verbalizing experience","- AI_13_158:The wording feels like it has been translated. The way the foundation is created, the signposts, etc. There is good feedback on how to record and deepen the information. There is no mention of the actual surgery, and when it comes to the role and procedure of the surgery, it becomes a surgical record, so there is the impression that the focus is a little off from the record of this practical training. There is no feedback on the attitude of the practical training, so improvement is needed.","AI_13_158"
"AI","positive","Continuity and consistency","Support for verbalizing experiences","Assistance with making the experience record more concrete","- AI_23_157:I thought it was amazing that the AI would write “It would be good to be more specific about how to increase nutrition, such as by adding milk”. It felt like something a detailed pediatrician teaching doctor might say.","AI_23_157"
"AI","positive","Continuity and consistency","Support for verbalizing experiences","Precise advice regarding the description","- AI_10_105:If we consider this medical student's description as a starting point, then accurate feedback is being given.","AI_10_105"
"AI","positive","Continuity and consistency","Support for verbalizing experiences","Concise points regarding the description","- AI_14_008:As there is no feedback on the content of the practical training, it is not clear what should be improved in the practical training in the future, but the points that are lacking in the way the practical training is recorded are clearly pointed out, and it is easy to understand.","AI_14_008"
"AI","positive","Continuity and consistency","Support for verbalizing experiences","Sufficient feedback regarding the content of the description","- AI_10_110:I don't know whether this was intentional or not, but I think that focusing on describing the detailed process of the feedback points was appropriate as a priority in this case.
- AI_10_112:This is appropriate as feedback on the learning record.","AI_10_110, AI_10_112"
"AI","positive","Continuity and consistency","Support for verbalizing experiences","Feedback for making descriptions more concrete","- AI_05_025:It seems to be a coincidence, but in this case, the same points (the specific content of the description regarding BLS) are requested in both feedbacks. The description is more supportive.","AI_05_025"
"AI","positive","Continuity and consistency","Support for verbalizing experiences","advice for making the description more specific","- AI_06_046:The feedback is detailed and specific.","AI_06_046"
"AI","positive","Continuity and consistency","Support for verbalizing experiences","Specific advice to improve the description","- AI_06_041:Feedback is given on the description to make specific improvements.","AI_06_041"
"AI","positive","Continuity and consistency","Feedback based on a comprehensive review of the recorded content","Comment based on reading the description","- AI_05_034:Improvement points: The only advice given is to write more specifically. Good points: The comments are based on the content.","AI_05_034"
"AI","positive","Continuity and consistency","Feedback based on a comprehensive review of the recorded content","Advice that is in line with the record","- AI_15_028:The impression is that this is polite feedback that is in line with the practical training records. I think it is good that the points that are excellent in the student records are extracted and mentioned. On the other hand, I think that the feedback should be improved in the sense that it is a little too focused on the items that are lacking only on specific days and items.
- AI_15_030:This is feedback that gives careful guidance in response to the lack of practical training records. I think it is good that it gives specific suggestions for improvement and encourages the student to write clearly.
- AI_15_031:The impression is that the feedback is tailored to the clinical clerkship logs. I think it is good that the points that need to be improved in the clinical practice record are mentioned in detail, with specific examples given.
- AI_15_032:The impression is that the feedback is tailored to the clinical practice record. I think it is good that, although it is formulaic, it also contains a lot of supportive language.","AI_15_028, AI_15_030, AI_15_031, AI_15_032"
"AI","positive","Continuity and consistency","Feedback based on a comprehensive review of the recorded content","advice based on records","- AI_21_117:My impression is that the feedback is given after the record has been carefully examined. The fact that the points that should be evaluated and the good points are mentioned first, and then the points for improvement are pointed out, makes it easier for the student to accept the points for improvement, and I think that is a good thing. I also think that the points for improvement and the content of the points for improvement are very specific, and that makes it easier to take action. The main points for improvement are suggestions for how the students' practical training should be carried out, and there is no feedback on medical or clinical content.","AI_21_117"
"AI","positive","Continuity and consistency","Support for verbalizing experiences","concrete advice on the record","- AI_16_035:While it gives specific and explicit feedback on the records written by the students, it feels a little opportunistic. It is good that it summarizes the issues raised by the students and suggests improvement plans. On the other hand, it feels like the feedback is limited to general content. I think it would be better if it pointed out things like the students' attitudes during the practical training and things the teachers noticed.","AI_16_035"
"AI","positive","Continuity and consistency","Support for verbalizing experiences","Detailed advice on the record","- AI_16_039:The impression is that detailed feedback is given on the records. It seems that not much feedback is given on the specific content of the practical training. It is good that specific points are pointed out regarding the entries in the records and how they can be improved. On the other hand, it seems that there is little medical-related feedback, so it would be better if the content suggested points that the students are not aware of.
- AI_16_048:The impression is that the student's record is being given detailed feedback. The fact that the feedback is given in an easy-to-understand way, including specific examples, is commendable. On the other hand, it seems that there are hardly any medical points raised. It would be even better if advice was given on what points to focus on and how to learn.","AI_16_039, AI_16_048"
"AI","positive","Continuity and consistency","Support for verbalizing experiences","Detailed advice on how to record","- AI_20_101:Although the specific content of the practice is not mentioned, the points for revision regarding the record are detailed. It seems like the way to write the record will improve.","AI_20_101"
"supervisor","positive","Quality of the Japanese language","Descriptions that evoke the feeling of being reviewed by a human","feeling of being looked after","- SU_20_109:The feedback is positive and it feels like the individual is being looked at and taught. I felt that it was educational to be referred to future issues.","SU_20_109"
"supervisor","positive","Continuity and consistency","Feedback that takes into account the practicum context","feedback based on shared experiences","- SU_04_008:The content conveys the feeling of working together with medical students. The good points are the same as above. There are no points for improvement.","SU_04_008"
"supervisor","positive","Perspective as a clinician","Expert perspective","Advice from the perspective of a medical expert","- SU_14_004:The feedback is specific and gives details about the content of the illness seen in the hospital, so it is easy to understand what you need to be careful about. As there are no points for improvement, it is difficult to know where to make improvements.","SU_14_004"
"supervisor","positive","Perspective as a clinician","Expert perspective","Pointing out medical errors","- SU_06_037:It points out errors in writing and correctly teaches medical knowledge. It does not provide specific suggestions for improvement.","SU_06_037"
"supervisor","positive","Perspective as a clinician","Expert perspective","Addressing important medical issues","- SU_09_091:Although there are only a few, I think the feedback is easy to understand as it proposes issues related to important and impressive content.","SU_09_091"
"supervisor","positive","Perspective as a clinician","Expert perspective","Suggestions for medical matters","- SU_16_037:I think the content is educational, as it includes important medical points, but the amount of points is insufficient, and the way the text is written feels a little unfriendly. It is educational in that it points out misunderstandings of medical knowledge, but the points are limited to medical content, and I would like the points to lead to improvements in future approaches for students.
- SU_16_051:The feedback is detailed and medically accurate, but it comes across as a bit stiff. The feedback is detailed and medically accurate, but the wording is a bit directive.","SU_16_037, SU_16_051"
"supervisor","positive","Perspective as a clinician","Expert perspective","Lack of advice on medical knowledge","- SU_14_016:It points out medical problems and points for improvement when reviewing. It does not indicate points for improvement such as writing every day.
- SU_19_088:It mentions the points that should be kept in mind during medical examinations and consultations, and I think it will be useful for students to clarify their future goals. However, there is little mention of the ‘criteria’ that students should record.","SU_14_016, SU_19_088"
"supervisor","positive","Perspective as a clinician","Expert perspective","Medical knowledge advice","- SU_17_058:I can get feedback on my knowledge, so it is useful for my studies.","SU_17_058"
"supervisor","positive","Perspective as a clinician","Expert perspective","Presentation of medical knowledge","- SU_19_097:There is little feedback that refers to the student's records or the standards for clinical practice. However, the knowledge of diseases that is useful for diagnosis is shared, and I think this is useful feedback for students. There is also a phrase that asks about hopes for future practice, and I felt that this could encourage students to take an active part.","SU_19_097"
"supervisor","positive","Perspective as a clinician","Expert perspective","Supplementary medical knowledge","- SU_18_076:Rather than pointing out areas for improvement in the student's writing, I got the impression that the advice was more about supplementing information for learning. I think that's fine.","SU_18_076"
"supervisor","positive","Perspective as a clinician","Expert perspective","Lack of advice based on experience as a medical professional","- SU_15_018:The impression is that it is careful feedback based on the student's comments. The fact that it encourages the student to check the specific medical procedures and how to use medical equipment is good as it is feedback that takes into account that this will also be useful in actual clinical practice. The student repeatedly mentions specific techniques such as procedures and presentation skills, so it would be even better if there was specific feedback on these points too.","SU_15_018"
"supervisor","positive","Continuity and consistency","Feedback that takes into account the practicum context","advice that is easy to put into practice","- SU_08_080:The advice is concise and easy to take on board. I think it would be better if you could also mention one good point about the medical student.","SU_08_080"
"supervisor","positive","Continuity and consistency","Feedback that takes into account the practicum context","Advice based on the situation in the clinical setting","- SU_17_062:The feedback was useful because it gave me supplementary information that wasn't included in the medical student's description.","SU_17_062"
"supervisor","positive","Continuity and consistency","Feedback that takes into account the practicum context","Findings based on clinical practice experience","- SU_23_157:I thought that ‘it seemed like he was going about things in a calm and collected way’ was an opinion that only a supervising doctor could give, and that it couldn't be read from this feedback.","SU_23_157"
"supervisor","positive","Perspective as a clinician","Expert perspective","comments from a clinician","- SU_13_152:The report focuses on the learner's experience and provides appropriate feedback. It raises issues related to the communication of more practical findings and the outcome of the disease other than the examination of the case. It does not touch on the points for improvement in the learner's report itself. The points for improvement are formative feedback on a better report","SU_13_152"
"supervisor","positive","Perspective as a clinician","Expert perspective","Advice from the perspective of a clinician","- SU_21_125:I liked the fact that the student record pointed out aspects that the student had not noticed from a clinical perspective (communication with patients and their families), and encouraged them to reflect on this. I also liked the fact that it gave a positive evaluation of the student's attitude during the practical training.","SU_21_125"
"supervisor","positive","Continuity and consistency","Feedback that takes into account the practicum context","Descriptions based on clinical situations","- SU_18_075:There is no mention of whether the students are writing based on the “criteria” they should be recording, but I think that the advice itself is effective and relevant to real clinical practice.
- SU_18_080:Although there is no mention of whether the student's writing is based on the ‘criteria’ that they should be recording, I think the advice is practical and in line with real clinical practice.","SU_18_075, SU_18_080"
"supervisor","positive","Perspective as a clinician","Expert perspective","Opinion from a clinical perspective","- SU_11_132:I think it's good that the comments are supportive and refer to clinical difficulties and the ease of making mistakes. I thought it would be good to delve a little deeper into the record, which ends with the single phrase ‘neurological examination’.","SU_11_132"
