"provider","Code","Text","refs"
"AI","advice that does not take into account common sense","- AI_15_029:Although the feedback is based on the student's record, it is feedback that stands out for its inappropriate points in the details. This is an issue that is often mentioned in generated AI, but because it lacks common sense, it points out that “there are only four days of records” without taking into account the fact that January 8th is a public holiday. Also, when examining joints in the field of rheumatology, I think that the focus should be on the presence or absence of joint tenderness, spontaneous pain, or limited range of motion, rather than joint fluid retention, but the only example given for examining joints is “how to examine for joint fluid retention”, which is inappropriate feedback given the characteristics of the department.","AI_15_029"
"AI","Inconsistent points","- AI_14_012:In point 7, there is no indication that the patient's background knowledge should be written, so I felt that the content of the points to be made was changing even though the sentences were written in the same careful way. I felt that consistency would be good.","AI_14_012"
"AI","insufficient advice","- AI_09_091:Feedback is given on the content of the log. The content of “please write specific details” seems to be rather vague.","AI_09_091"
"AI","Decrease in accuracy from insufficient contextualization","- AI_10_104:The feedback gives the impression that days without records = days without practice. We cannot understand the correctness or otherwise of this, but it is possible that it is not accurate. The other points for improvement are well written.","AI_10_104"
"AI","Insufficient advice based on insufficient description","- AI_12_140:I think the feedback misses the mark. I think it should be improved overall.","AI_12_140"
"supervisor","lack of comments on what is written","- SU_05_030:This is partly because the student's record content is limited to listing the names of surgeries and lacks specificity, but it does not seem that the comments are based on the content of the record. It is short.","SU_05_030"
"supervisor","Insufficient description","- SU_07_055:This is not feedback. Even if the student reads this, they will not change for the better or for the worse.
- SU_07_057:This is not feedback, but the evaluator's response and thoughts.","SU_07_055, SU_07_057"
"AI","Insufficient feedback from insufficient records","- AI_10_103:・The points for improvement for each individual are very easy to understand. ・The goal for this practical training as a whole cannot be understood from this feedback alone. However, this lack of detail may be the result of the student's lack of records.","AI_10_103"
"supervisor","Unclear description","- SU_07_054:This is not feedback. There is no positive feedback at all, and even as constructive feedback, it is not specific, such as ‘ask various questions’.","SU_07_054"
"AI","Vague advice","- AI_22_134:The suggestions are a little difficult to understand. I would like you to clearly indicate specific examples.","AI_22_134"
"AI","Inaccurate advice","- AI_19_091:As it seems that there are only two days' worth of records, I feel that the feedback “It is very good that you are keeping a record every day” is not accurate. Along with the suggestion that the student's record should be written in more detail, the feedback also gives specific examples of what kind of perspective should be taken when writing the record, which I think will be helpful for the student.
- AI_19_097:The student's summary of the lecture, “In my opinion, the medical interview is important for muscular diseases”, is followed by the advice, “Please try to describe at what point you learned this”. However, I think this learning was gained from the lecture and not from being in front of a real patient, and the reason why the medical interview is important is also described, so I feel that the advice is a little imprecise.
- AI_23_152:The point that the feedback was given under the misunderstanding that the daily record was being done when it was not should be improved. Other than that, there was a lot of practical feedback.","AI_19_091, AI_19_097, AI_23_152"
"AI","Inaccurate interpretation","- AI_13_152:The comment “Carefully record your daily activities” is a little over the top and seems mechanical, as it only refers to a single day's worth of activities. The feedback about writing more detailed and accurate descriptions of the practical training content is accurate. The points for improvement mention the attitude of the trainee.
- AI_13_153:The instructor comments on the problems raised by the learner. On the other hand, the comment about the lack of a record of learning for 3/26-29 may be off the mark in some cases, as it may be that the day was not a training day as part of the curriculum, or that the learner simply did not mention that they were absent. The setting of the scene for explaining the patient's condition is also abstract, and I felt that the accuracy of the feedback would depend on whether the instructor and learner had experienced the same actual interview situation.
- AI_13_155:Although the learner does not keep a daily record, the fact that they do keep a daily record is evaluated, and this feels strange. The feedback encourages the learner to think more deeply about the content of their daily practical work and to reflect on it. There is no mention of the issue of how to interact with patients, so feedback is needed.
- AI_13_157:The wording gives the impression of being translated, and seems unnatural. For example, “It's a good start.” The feedback is limited to how to record things. Although the aim is to record things every day, there is a gap between this and reality, such as during consecutive holidays, and this makes it unnatural. The patient list is written in detail, but I don't think it is written in particularly detailed fashion, so I feel a sense of incongruity.","AI_13_152, AI_13_153, AI_13_155, AI_13_157"
"AI","unnatural tone","- AI_13_149:Good points: The specific points for improvement in the report are stated. The path for advancing learning is indicated. Points for improvement: The tone seems too high-handed. It seems like “great work” is being overstated, and it also seems like the resident is just writing what they need to in order to get the report submitted. It feels a little like they can't read the situation. And yet, it is giving feedback based on sound reasoning. If this is AI-generated, I felt that there might be a gap between the character of the supervising doctor in their normal life. There might be a mechanical sense of incongruity, an artificial “uncanny valley”-like sense of incongruity. Also, there might be a context that is shared between the supervising doctor and the resident, but is not included in the resident's report.
- AI_13_154:The feedback is supportive for the learner, who has only written about the practical matters. The report is accurately instructed on the content necessary to achieve the evaluation criteria. If this were an AI, there would be a difference in the tone of feedback2, and it might feel mechanical.
- AI_13_156:The feedback seems mechanical, based on the records. The points for improvement are mentioned in the daily entries and in the preparation for the presentation, etc., but when looking at the overall learner's records, they have basically been achieved, so the feedback seems a little excessive. The wording gives the impression of being a translation from English.
- AI_13_157:The wording gives the impression of being translated, and seems unnatural. For example, “It's a good start.” The feedback is limited to how to record things. Although the aim is to record things every day, there is a gap between this and reality, such as during consecutive holidays, and this makes it unnatural. The patient list is written in detail, but I don't think it is written in particularly detailed fashion, so I feel a sense of incongruity.
- AI_13_159:The writing feels mechanical and like a translation. After mentioning the good points, there are some points that could be improved. The expression “rather than a supervising doctor, it is more like a red pen teacher for writing and academic papers. It feels like a bit of nitpicking, and the feedback is a bit off the mark. The good points are the approval of the practical training record. The points for improvement are the addition of an evaluation of the attitude during the practical training.
- AI_13_162:The impression is that the tone is high. Good points: The way to keep a record and how to deepen learning are described in detail. Improvement points: The context is unnatural. It is unclear whether it is the first day of the practical training record. There is a possibility that it is out of context.
- AI_13_164:Because the learning records are kept properly, there are few things to point out, and the feedback seems to be too abstract. The use of the word “foundation” gives the impression of a translation. I wonder if they would naturally use words like “foundation”. Points for improvement: The feedback mentions learning attitude, etc.
- AI_16_042:It is good that the feedback is detailed and specific. It is good that specific examples are given to make the feedback easy to understand. On the other hand, it would be better if the slightly mechanical expressions could be improved to make them more natural.
- AI_16_043:Concrete and easy-to-understand feedback. The fact that the feedback is something that students can put into practice straight away is good. On the other hand, it is a shame that some of the descriptions are unnatural and there is not much medium- to long-term feedback.
- AI_16_045:The feedback is specific about the content of the description. The fact that it is able to point out things like omissions in the records appropriately is good. It also gives specific suggestions for improvement. On the other hand, there are some unnatural parts in the description, so it would be better if it were written in a more natural way.
- AI_16_046:Although it is a little mechanical, I get the impression that the content points out things that will lead to improvements in the students' records. I think it is good that it gives specific examples and shows improvement plans. The expressions are a little mechanical, and it is all about how to write things, so I think it would be better if it included content that points out issues that the students are not aware of.
- AI_16_049:The impression is that the feedback is detailed, but the writing is a little unnatural. The fact that the points for improvement are given with specific examples is good, but the expressions, such as the dates, are a little roundabout, so it would be easier to read if the expressions were more natural.
- AI_17_068:Sentences like “I would like to emphasize the good points” are very typical of chatGPT's writing. I think I would get tired of receiving similar feedback.","AI_13_149, AI_13_154, AI_13_156, AI_13_157, AI_13_159, AI_13_162, AI_13_164, AI_16_042, AI_16_043, AI_16_045, AI_16_046, AI_16_049, AI_17_068"
"AI","Unnatural Japanese","- AI_05_032:The fact that the points for improvement are detailed is commendable. On the other hand, the suggestions seem a little off the mark, such as “Try to cover all days” (I think this probably means to write a record every day), or “Read two documents to improve your presentation skills”, etc.
- AI_09_094:The feedback is specific, but it seems to be more about how to write the portfolio. Also, the last comment, “Please cheer up,” seems a little inappropriate
- AI_10_102:The intention of the phrase “practical training that combines learning and recording” is understandable, but it is unnatural as Japanese.
- AI_14_011:The expression “excellent work” is a bit of a turn-off, but the other points for improvement are clearly indicated.
- AI_14_015:Thank you for your hard work! Your record is detailed and specific overall, and it is clear that you are carefully observing. The preface is good as a cushion, but if it is written in every practice book, it feels like it is too wordy.
- AI_18_076:I think it's good. Overall, I think it would be better if the Japanese were a little more natural.
- AI_18_080:Although I am concerned about the unnatural Japanese, I don't think the advice is bad.
- AI_19_088:I think the suggestion that it would be good to decide on the teaching materials to be used and the study time as the goal for review is reasonable, but I think the expression “run MRI analysis” is a bit mechanical. Is it not possible to generate a phrase like “Learn about the normal images of head MRI and the imaging findings for each disease using ○○, and compare them with images of actual patients”?
- AI_23_149:Expressions such as “Great job!” and “I will provide feedback.” are English-Japanese translation-like expressions, and I felt that they were unnatural as Japanese. Also, “Read five papers related to hyponatremia” is a very interesting suggestion, as it is like a lab duty in the sciences, such as “read 100 papers a week.”","AI_05_032, AI_09_094, AI_10_102, AI_14_011, AI_14_015, AI_18_076, AI_18_080, AI_19_088, AI_23_149"
"AI","unnatural Japanese expression","- AI_12_144:I think the specific issues being proposed are accurate and good. However, I think the evaluation that “the fact that it is continuously written is wonderful” is a little unreasonable.","AI_12_144"
"AI","Only pointing out shortcomings","- AI_20_105:It feels like the content was not observed, as it points out that the daily record should be continued for each day's record.","AI_20_105"
"supervisor","Lack of pointing out of shortcomings","- SU_08_069:There are hardly any records written by the medical students themselves, so it is impossible to assess them. I suspect that the feedback was written by the supervising doctors who were observing the students, so I think they probably didn't focus on giving verbal feedback. I think it would have been good to encourage the medical students to keep a record of their learning every day, or at least to write down the content and results of their learning in detail, so that they could look back on it later.
- SU_11_128:The quantity and quality of the records seems to be lacking, but there is no comment on this. There are no comments on the content of the records.","SU_08_069, SU_11_128"
"AI","Excessive pointing out of shortcomings","- AI_20_103:As it only points out the shortcomings and does not mention the content of the practical training, it gives the impression that the practical training was not observed.","AI_20_103"
"AI","Inappropriate language","- AI_10_108:Although generally supportive and accurate, the word 'commendable' at the beginning has a slightly patronizing nuance, and the TOEIC 800-point (or EIKEN Pre-1st Grade) level gives the impression of being a little unfriendly to the learner. I thought it would be better if the language used was a little more learner-friendly.","AI_10_108"
"AI","Advice that lacks substance","- AI_05_033:There are also some entries that are not true, such as the fact that the diary for May 9th is blank, even though there is a record (albeit not a full one). The advice given for malignant thymoma also seems specific but is not very substantial. However, the comments are based on a careful reading of the student's record.
- AI_06_036:The feedback is specific. It is unclear whether the student is recording their daily activities, but the fact that they are recording them is highly evaluated.","AI_05_033, AI_06_036"
"supervisor","Few suggestions for poor records","- SU_19_090:I think it would be better if there were more specific comments and advice, while also touching on the students‘ descriptions. (The students’ records are also rather sloppy, so considering the workload of the supervising doctors, it may not be so bad.","SU_19_090"
"AI","Administrative advice","- AI_11_121:The reviewer did not point out the typo “resuscitation cancellation”. They pointed out the next task in a safe way. Compared to feedback1, there was no emotional description, and to put it nicely, it was accurate, to put it normally, it was businesslike, and to put it badly, it was flat. I thought that they had set the average score and correct answers as the standard and had sufficiently pointed out the inferior parts from there.","AI_11_121"
"AI","Mix of descriptions that differ from the facts","- AI_05_033:There are also some entries that are not true, such as the fact that the diary for May 9th is blank, even though there is a record (albeit not a full one). The advice given for malignant thymoma also seems specific but is not very substantial. However, the comments are based on a careful reading of the student's record.
- AI_06_036:The feedback is specific. It is unclear whether the student is recording their daily activities, but the fact that they are recording them is highly evaluated.
- AI_07_053:I think it is good that specific examples of what is good are given at the beginning. The logic breaks down when it says “I keep a record every day” but then says “there are days when there is no record”. As far as I can see, the dates are consecutive, so I judged that this feedback was not correct. Even if there are no problems with each individual segment, there is still a sense of discomfort when looking at the text as a whole.
- AI_07_054:I also judge that this case does not have a daily record. When judging only from this log, I cannot understand the basis for judging that there is no daily record. I think this is a very good constructive feedback, as it is specific.","AI_05_033, AI_06_036, AI_07_053, AI_07_054"
"supervisor","Descriptions linked to people","- SU_06_045:The name is written, so you know who gave the feedback. No specific suggestions for improvement are given.","SU_06_045"
"AI","Similar to human beings","- AI_05_025:It seems to be a coincidence, but in this case, the same points (the specific content of the description regarding BLS) are requested in both feedbacks. The description is more supportive.","AI_05_025"
"AI","Feedback on the content of the experience gained by the person","- AI_05_021:The comments are supportive and specific, and are based on a thorough review of the student's record. This student has filled out their record in sufficient detail, so the feedback is also more specific and personalized. On the other hand, it can be said of both AI feedback and human feedback in general, that AI feedback is limited to feedback on the student's actual written content. On the other hand, human feedback is more about what the student actually experienced in the field, rather than what they wrote down. For this reason, even if the feedback is the same, the two are different.","AI_05_021"
"supervisor","Descriptions based on human relationships","- SU_18_082:I think this feedback is based on the basic human relationship between the students and the teacher. I think it would be good to also point out what needs to be improved in the students’ descriptions.
- SU_18_083:It's good that you use supportive words, but I think it would be better to also point out what needs to be improved in the students‘ descriptions.
- SU_18_084:There are some descriptions that suggest that the teacher was directly observing the students’ practical training, so I think this feedback is based on the human relationship between the students and the teacher. I think the advice is also accurate and good.","SU_18_082, SU_18_083, SU_18_084"
"supervisor","Presentation of future learning policy","- SU_06_039:It conveys what can be learned in neurology and how it will be useful in the future. There is no feedback on what was done in particular.","SU_06_039"
"supervisor","Presentation of future learning behaviour","- SU_05_027:Good points: The feedback focuses on the student's future learning content. Bad points: There are no comments on the student's previous experience or records.","SU_05_027"
"AI","Making future issues more concrete","- AI_20_109:I felt that the feedback would be more useful if it included advice on how to learn and what to do in the future.","AI_20_109"
"AI","Specific advice regarding future issues","- AI_14_010:The advice on how to implement future issues more concretely is accurately described.","AI_14_010"
"AI","Advice that is too formal","- AI_08_084:The advice is specific and easy to understand, but compared to feedback 1, I feel that it is a little cold and distant.","AI_08_084"
"AI","assistance with putting experiences into words","- AI_13_150:Good points: The report is being given feedback on the specific methods used to write it. The advice is to make the details of the experience more specific in order to deepen the learning from the practical training. Bad points: The focus seems to be on making the report look presentable. It is unreasonable to ask for more specific details on the 25th, which is written as an absence. The setting of using the example of a newborn patient to deepen understanding of the indications and management methods for CPAP is also unreasonable as an approach after the practical training has finished.","AI_13_150"
"supervisor","reuse","- SU_23_153:The feedback was almost the same as Index number 149.","SU_23_153"
"AI","Advice that leads to the leakage of personal information","- AI_05_027:Good points: The advice is specific. The content doesn't feel too strange. Bad points: In some cases, asking for detailed patient lists could lead to the writing of personal information that is prohibited. This point should also be covered in the guidance.
- AI_05_028:The advice is specific. On the other hand, asking for the content of the patient's story could infringe on personal information, so care is needed with this comment.","AI_05_027, AI_05_028"
"supervisor","Individualised description","- SU_20_109:The feedback is positive and it feels like the individual is being looked at and taught. I felt that it was educational to be referred to future issues.","SU_20_109"
"AI","Misplaced priorities","- AI_07_064:I think it's well-written, but although the items are listed, there are no specific examples. I think that if you focus on this, it will be easier for the students to understand. The content is detailed and specific, so if you just focus on what was learned in detail, it will be a very good record, so I think that more focused feedback would be effective.","AI_07_064"
"AI","Unclear prioritization","- AI_08_075:The advice is specific and easy to understand, but it is unclear what the most important points are.","AI_08_075"
"supervisor","missing prioritisation","- SU_12_136:I felt that this supervising doctor had a good grasp of the content of the students' practical training. It's good that specific points for improvement are listed, but I think it would be better if the importance and priority were also stated.","SU_12_136"
"supervisor"," empathetic tone","- SU_16_042:The impression is that it is just a comment. There is very little written. I think it is good that it shows empathy with the difficulty of learning. On the other hand, it is a shame that the content is very little and abstract.","SU_16_042"
"supervisor","feedback based on shared experiences","- SU_04_008:The content conveys the feeling of working together with medical students. The good points are the same as above. There are no points for improvement.","SU_04_008"
"AI","Presentation of specific examples","- AI_04_009:The impression is that there are few details, but there are examples given. The good points are that it also includes detailed descriptions and gives specific examples. There are no points that need to be improved.
- AI_19_091:As it seems that there are only two days' worth of records, I feel that the feedback “It is very good that you are keeping a record every day” is not accurate. Along with the suggestion that the student's record should be written in more detail, the feedback also gives specific examples of what kind of perspective should be taken when writing the record, which I think will be helpful for the student.
- AI_21_131:The evaluation is based on the “criteria”. The main point is to improve the student records. It is good that it shows the points for improvement using specific examples. Although it encourages the description of clinical aspects, it seems that there is a lack of direct clinical knowledge and clues in terms of learning clinical medicine.
- AI_21_132:I felt that the evaluation was based on “criteria”. It was good that the good points were clearly indicated. It was good that the learning effect was improved by encouraging students to write specific descriptions even for terms that they were just listing. Overall, I got the impression that it was a form of encouraging students to learn through improving the way they write in their student records.","AI_04_009, AI_19_091, AI_21_131, AI_21_132"
"AI","unfavorable reaction to specific examples","- AI_20_115:I felt that the feedback was given in a way that praised the record, but also emphasized the need to meet the criteria for the record, even though the record was thin on content. I think it would be better if the suggestions for revision were not given in specific sentences.","AI_20_115"
"AI","Advice with specific examples","- AI_19_085:I think it's good that the feedback includes specific examples of the content that should be included.
- AI_19_087:The point of showing specific examples to show the areas for improvement in the student's reflection is easy to understand.","AI_19_085, AI_19_087"
"AI","Advice with specific examples","- AI_20_115:I felt that the feedback was given in a way that praised the record, but also emphasized the need to meet the criteria for the record, even though the record was thin on content. I think it would be better if the suggestions for revision were not given in specific sentences.","AI_20_115"
"AI","suggestions for improvements with specific examples","- AI_21_120:The fact that it gives words of encouragement to the students is good. The fact that it explains how to record and how to write in depth using specific examples is good.","AI_21_120"
"AI","Detailed advice with specific examples","- AI_23_153:I was surprised that such detailed feedback could be given regarding the setting of the place for explaining the patient's condition.","AI_23_153"
"AI","Unclear standards regarding specificity","- AI_07_055:It is in the form of feedback. However, I think that the student has described the treatment content and its effects in detail, but it is pointed out that they have not been described, and it is a little confusing when reading it.","AI_07_055"
"AI","Specific feedback","- AI_04_009:The impression is that there are few details, but there are examples given. The good points are that it also includes detailed descriptions and gives specific examples. There are no points that need to be improved.","AI_04_009"
"AI","Lack of concreteness","- AI_22_136:The specific examples lack concreteness","AI_22_136"
"supervisor","lack of specificity","- SU_04_005:It was clear that the content was based on the evaluation criteria and that the medical students' own attitude towards the practical training was also being observed, not just the record. One good point was that it mentioned the need for independent study in response to the issues that the medical students had raised as issues for the future. As for areas for improvement, I felt that the feedback was lacking in specificity for the medical students' future studies.
- SU_16_039:The points made are suggestions for the student to work on that will lead to future improvement, but they feel a little abstract. The importance of learning high-level spinal cord diagnosis as a learning item, including clinical experience, is clearly shown. On the other hand, there is a lack of specific suggestions for what kind of learning should be done, so I would like more specific suggestions.
- SU_16_041:The impression is that it is just a comment. I think it is good that it shows that the student's efforts are being evaluated. On the other hand, there is a lack of specific feedback.
- SU_16_042:The impression is that it is just a comment. There is very little written. I think it is good that it shows empathy with the difficulty of learning. On the other hand, it is a shame that the content is very little and abstract.
- SU_16_043:The impression is that it is well-written feedback, but it is a little abstract. I think it is good that it is written with future teaching opportunities in mind. On the other hand, there are some abstract expressions, so it would be helpful if it was written in more detail.
- SU_16_045:The impression is that it is just a note. I think it is good that supportive content is included, but there are not many specific descriptions of the record, so I would like to see more detailed feedback.
- SU_16_049:The feedback seems to be too abstract. I would like more detailed and specific feedback.
- SU_16_050:It doesn't seem to be feedback. I would like it to be written in more detail and with more specifics.
- SU_17_052:It would be easier to understand if it was more specific.
- SU_17_053:I don't understand the intention of the phrase ‘ureteral injury is a complication that we always have to be careful about in colorectal surgery’, and I feel that it should be improved.
- SU_17_055:I felt that the feedback was too abstract and inappropriate.
- SU_21_117:The impression I got was that it was like a message from a senior doctor to a junior doctor. The good points were that it included comments and advice from a clinical perspective, and that it included the doctor's impressions. The points for improvement were that there was a lot of abstract content, that there was little feedback on the student's records, etc., and that there were few points for the student to work on.
- SU_23_150:The feedback includes advice that would only be conveyed by a clinician, such as the long-term perspective of ‘going home’, and also includes a description of the learning content, issues and goals that are lacking. However, it is not as specific as feedback 1, and it seems as though the student may just gloss over it.
- SU_23_161:It was quite brief and abstract, and I felt that the way it was received would depend on the relationship and context between the supervising doctor and the student during the practical training.","SU_04_005, SU_16_039, SU_16_041, SU_16_042, SU_16_043, SU_16_045, SU_16_049, SU_16_050, SU_17_052, SU_17_053, SU_17_055, SU_21_117, SU_23_150, SU_23_161"
"AI","Lack of specificity","- AI_04_008:The feedback is long, but the impression is that it lacks concreteness. The good points are that it encourages learning about imaging tests. The points that need improvement are that it lacks concreteness.","AI_04_008"
"AI","lack of specificity","- AI_06_040:Feedback is given on the practical training record. Although the learner is encouraged to write in detail, it is unclear which parts are lacking.","AI_06_040"
